family,parameter,generalized_robustness,status,solver,solver_version,cvxpy_version,num_iters,solve_time_s,equality_residual_fro,subspace_residual_fro,min_eig_W_AB,min_eig_W_BA,witness_value,witness_certificate_gap
control_dephasing,0.0,0.5453510588601193,optimal,SCS,3.2.11,1.9.2,475.0,2.5574963,2.118835564267484e-11,2.618935453391217e-11,-9.007957490365763e-09,-5.161158696257936e-09,0.5453510593921896,5.320703877487176e-10
control_dephasing,0.25,0.35262607579224486,optimal,SCS,3.2.11,1.9.2,2550.0,13.6337045,3.965599181261885e-11,9.830163810854812e-13,-2.428230756742683e-08,-2.4300212312225285e-08,0.3526260770745369,1.282292050319711e-09
control_dephasing,0.5,0.16748332018773332,optimal,SCS,3.2.11,1.9.2,1775.0,9.8187588,2.062528017473387e-11,6.766748908667313e-12,-7.114731964172755e-09,-7.117247726677734e-09,0.16748331999310784,1.9462548239701505e-10
control_dephasing,0.65,0.08417337264649888,optimal,SCS,3.2.11,1.9.2,2225.0,13.0981252,2.7104034134332956e-11,1.2560193054144062e-11,-1.5100974237651365e-08,-1.510058156352216e-08,0.0841733710138893,1.632609575308308e-09
control_dephasing,0.7,0.06246143938381106,optimal,SCS,3.2.11,1.9.2,5325.0,26.2245167,2.7207535397704077e-11,1.4067050523710111e-11,-3.585840276192242e-09,-3.584594461017724e-09,0.0624614428488775,3.4650664421098654e-09
control_dephasing,0.75,0.043845057749896534,optimal,SCS,3.2.11,1.9.2,4975.0,52.0832092,1.1979143705693194e-11,1.2633915550376509e-11,-8.340826926689e-09,-8.351275790685243e-09,0.04384505914748682,1.3975902865559497e-09
control_dephasing,1.0,3.316808700043216e-10,optimal,SCS,3.2.11,1.9.2,100.0,1.0917439,4.2267774977763176e-11,9.790860526592023e-12,-2.6053602838900407e-08,-2.606320424128258e-08,-4.1759038588162767e-10,7.492712558859493e-10
white_visibility,0.0,-3.681604267361456e-14,optimal,SCS,3.2.11,1.9.2,75.0,0.5255304,1.7954566246849146e-14,2.2165002678743987e-14,0.03124999998821021,0.03124999991904241,7.216180958079965e-14,1.0897785225441422e-13
white_visibility,0.25,9.470923219057846e-13,optimal,SCS,3.2.11,1.9.2,175.0,1.8661869999999998,7.287875776045335e-13,4.1845957941453936e-13,0.0022500215049277112,0.0022499631529855372,8.991529269845129e-13,4.793939492127174e-14
white_visibility,0.5,0.07793443968490354,optimal,SCS,3.2.11,1.9.2,425.0,5.096057399999999,2.6516849695791857e-12,2.6450317986854104e-12,-3.7573352831107727e-10,-3.8217359084366705e-10,0.07793443985121794,1.6631439281322713e-10
white_visibility,0.75,0.2929261837826021,optimal,SCS,3.2.11,1.9.2,800.0,6.5209851,5.803785708077855e-12,3.3736973204731743e-12,-8.004597785783326e-10,-7.792192935664685e-10,0.29292618373424045,4.8361648019579206e-11
white_visibility,1.0,0.5453510588601193,optimal,SCS,3.2.11,1.9.2,475.0,3.2221208000000003,2.118835564267484e-11,2.618935453391217e-11,-9.007957490365763e-09,-5.161158696257936e-09,0.5453510593921896,5.320703877487176e-10
order_bias,0.0,-5.812197308181354e-14,optimal,SCS,3.2.11,1.9.2,125.0,1.4779782,2.3466094338863828e-14,5.053949671074208e-14,-9.916841225172897e-13,-6.648171068164819e-14,-4.2413295098242543e-13,3.660109779006119e-13
order_bias,0.1,0.24902420420666233,optimal,SCS,3.2.11,1.9.2,4525.0,48.3234476,1.2085975030818483e-11,2.4543364482381055e-12,-6.575733593462244e-09,-3.3635980830373505e-09,0.24902420500581374,7.991514117122733e-10
order_bias,0.25,0.44250177727450335,optimal,SCS,3.2.11,1.9.2,2375.0,25.5794708,7.113104192467994e-11,3.145439686258867e-11,-4.3073581566368244e-08,-2.7316949589396805e-09,0.4425017803972483,3.122744951511436e-09
order_bias,0.5,0.5453510588601074,optimal,SCS,3.2.11,1.9.2,475.0,5.255897,2.1190251388315896e-11,2.6188137229322515e-11,-9.007960358360487e-09,-5.1611577836266584e-09,0.5453510593931404,5.330330621333701e-10
order_bias,0.75,0.44250177730574203,optimal,SCS,3.2.11,1.9.2,2375.0,26.5035477,7.051048264655861e-11,3.2420727786976264e-11,-2.733722192857344e-09,-4.2595252526010755e-08,0.44250178041714866,3.1114066323389977e-09
order_bias,0.9,0.24902420130657754,optimal,SCS,3.2.11,1.9.2,4500.0,49.468631800000004,3.4380076255560346e-11,1.5784246020683142e-11,-2.3690083339516437e-09,-1.234659452418002e-08,0.2490242046867463,3.380168756006441e-09
order_bias,1.0,-1.1542532195393266e-13,optimal,SCS,3.2.11,1.9.2,125.0,1.3527318,1.7056873214539104e-14,2.969465475082014e-14,-6.950654376932096e-14,-1.0187434750750603e-12,-4.288097654736589e-13,3.1338444351972624e-13
